---- Start output ----
[06:56:47] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/kc/year/2016/seasontype/2/half/1/kansas-city-royals
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:48] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[06:56:48] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/kc/year/2016/seasontype/2/half/2/kansas-city-royals
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:49] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
