---- Start output ----
[07:37:13] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/wsh/year/2016/seasontype/2/half/1/washington-nationals
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[07:37:14] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/wsh/year/2016/seasontype/2/half/2/washington-nationals
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:37:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
