---- Start output ----
[00:17:30] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tex/year/2016/seasontype/2/half/1/texas-rangers
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(), scraping date: (<class 'IndexError'>, 'espn_scraper.py', 386)
[00:17:31] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tex/year/2016/seasontype/2/half/2/texas-rangers
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:31] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
