---- Start output ----
[21:34:18] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/cin/year/2016/seasontype/2/half/1/cincinnati-reds
[21:34:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:20] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[21:34:20] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/cin/year/2016/seasontype/2/half/2/cincinnati-reds
[21:34:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:34:22] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
