---- Start output ----
[00:46:10] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/oak/year/2016/seasontype/2/half/1/oakland-athletics
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(), scraping date: (<class 'IndexError'>, 'espn_scraper.py', 386)
[00:46:11] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/oak/year/2016/seasontype/2/half/2/oakland-athletics
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:11] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
