---- Start output ----
[06:54:03] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sf/year/2016/seasontype/2/half/1/san-francisco-giants
[06:54:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:04] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[06:54:04] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sf/year/2016/seasontype/2/half/2/san-francisco-giants
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:54:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
