---- Start output ----
[06:56:07] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/chw/year/2016/seasontype/2/half/1/chicago-white-sox
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:08] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[06:56:08] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/chw/year/2016/seasontype/2/half/2/chicago-white-sox
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:09] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:56:10] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
