---- Start output ----
[07:38:38] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/atl/year/2016/seasontype/2/half/1/atlanta-braves
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[07:38:39] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/atl/year/2016/seasontype/2/half/2/atlanta-braves
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
