---- Start output ----
[08:48:36] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/kc/year/2016/seasontype/2/half/1/kansas-city-royals
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:37] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[08:48:37] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/kc/year/2016/seasontype/2/half/2/kansas-city-royals
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:48:38] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
