---- Start output ----
[08:49:23] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/laa/year/2016/seasontype/2/half/1/los-angeles-angels
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:24] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[08:49:24] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/laa/year/2016/seasontype/2/half/2/los-angeles-angels
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:49:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
