---- Start output ----
[07:26:19] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/mia/year/2016/seasontype/2/half/1/miami-marlins
[07:26:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:20] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[07:26:20] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/mia/year/2016/seasontype/2/half/2/miami-marlins
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
