---- Start output ----
[10:23:17] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/min/year/2016/seasontype/2/half/1/minnesota-twins
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:25] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[10:23:25] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/min/year/2016/seasontype/2/half/2/minnesota-twins
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:23:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
