---- Start output ----
[07:26:02] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tex/year/2016/seasontype/2/half/1/texas-rangers
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[07:26:03] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tex/year/2016/seasontype/2/half/2/texas-rangers
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:26:03] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
