---- Start output ----
[22:46:34] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/laa/year/2016/seasontype/2/half/1/los-angeles-angels
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[22:46:35] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/laa/year/2016/seasontype/2/half/2/los-angeles-angels
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[22:46:35] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
