---- Start output ----
[10:29:57] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sf/year/2016/seasontype/2/half/1/san-francisco-giants
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:58] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[10:29:58] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sf/year/2016/seasontype/2/half/2/san-francisco-giants
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[10:29:59] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
