---- Start output ----
[06:37:03] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/cle/year/2016/seasontype/2/half/1/cleveland-indians
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:04] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[06:37:04] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/cle/year/2016/seasontype/2/half/2/cleveland-indians
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:05] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:37:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
