---- Start output ----
[06:53:05] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/cle/year/2016/seasontype/2/half/1/cleveland-indians
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:06] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[06:53:06] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/cle/year/2016/seasontype/2/half/2/cleveland-indians
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:53:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
