---- Start output ----
[08:47:38] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/cle/year/2016/seasontype/2/half/1/cleveland-indians
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:39] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[08:47:39] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/cle/year/2016/seasontype/2/half/2/cleveland-indians
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[08:47:40] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
