---- Start output ----
[06:41:26] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tex/year/2016/seasontype/2/half/1/texas-rangers
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:27] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[06:41:27] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tex/year/2016/seasontype/2/half/2/texas-rangers
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:28] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[06:41:29] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[06:41:29] Loading existing data
[06:41:29] Returned 7-2-2016's game results
[06:41:29] Scraping 7-2-2016's period data: http://espn.go.com/mlb/playbyplay?id=360702109
[06:41:30] Game url: http://espn.go.com/mlb/playbyplay?id=360702109
[06:41:30] Team1: tex | Team2: min
[06:41:30] Cur team: tex | texas-rangers
[06:41:30] Other team: min
