---- Start output ----
[00:20:38] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/det/year/2016/seasontype/2/half/1/detroit-tigers
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 383)
[00:20:39] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/det/year/2016/seasontype/2/half/2/detroit-tigers
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[00:20:39] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
