---- Start output ----
[21:32:05] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tex/year/2016/seasontype/2/half/1/texas-rangers
[21:32:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:06] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[21:32:06] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tex/year/2016/seasontype/2/half/2/texas-rangers
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:32:08] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[21:32:08] Loading existing data
[21:32:08] Returned 7-3-2016's game results
[21:32:08] Scraping 7-3-2016's period data: http://espn.go.com/mlb/playbyplay?id=360703109
[21:32:09] Game url: http://espn.go.com/mlb/playbyplay?id=360703109
[21:32:09] Team1: tex | Team2: min
