---- Start output ----
[00:17:41] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/kc/year/2016/seasontype/2/half/1/kansas-city-royals
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(), scraping date: (<class 'IndexError'>, 'espn_scraper.py', 386)
[00:17:42] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/kc/year/2016/seasontype/2/half/2/kansas-city-royals
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:42] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
