---- Start output ----
[00:17:56] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/mia/year/2016/seasontype/2/half/1/miami-marlins
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(), scraping date: (<class 'IndexError'>, 'espn_scraper.py', 386)
[00:17:57] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/mia/year/2016/seasontype/2/half/2/miami-marlins
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] scrape_game_scores(), scraping date: (<class 'IndexError'>, 'espn_scraper.py', 386)
[00:17:57] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:57] Loading existing data
[00:17:57] Saving data to ./mlb/team_data/2016/miami-marlins.csv
[00:17:57] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/stl/year/2016/seasontype/2/half/1/st.-louis-cardinals
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(), scraping date: (<class 'IndexError'>, 'espn_scraper.py', 386)
[00:17:58] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/stl/year/2016/seasontype/2/half/2/st.-louis-cardinals
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:17:58] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
