---- Start output ----
[00:46:18] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sd/year/2016/seasontype/2/half/1/san-diego-padres
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(), scraping date: (<class 'IndexError'>, 'espn_scraper.py', 386)
[00:46:19] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sd/year/2016/seasontype/2/half/2/san-diego-padres
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:19] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
