---- Start output ----
[09:15:14] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tb/year/2016/seasontype/2/half/1/tampa-bay-rays
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[09:15:15] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/tb/year/2016/seasontype/2/half/2/tampa-bay-rays
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[09:15:15] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
