---- Start output ----
[21:33:05] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sea/year/2016/seasontype/2/half/1/seattle-mariners
[21:33:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:06] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:06] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[21:33:06] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sea/year/2016/seasontype/2/half/2/seattle-mariners
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:33:07] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
