---- Start output ----
[21:35:45] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/kc/year/2016/seasontype/2/half/1/kansas-city-royals
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:50] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[21:35:50] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/kc/year/2016/seasontype/2/half/2/kansas-city-royals
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:51] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[21:35:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
