---- Start output ----
[07:27:19] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sea/year/2016/seasontype/2/half/1/seattle-mariners
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[07:27:20] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sea/year/2016/seasontype/2/half/2/seattle-mariners
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:20] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:27:21] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
