---- Start output ----
[07:38:51] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/oak/year/2016/seasontype/2/half/1/oakland-athletics
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 374)
[07:38:52] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/oak/year/2016/seasontype/2/half/2/oakland-athletics
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
[07:38:52] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 398)
