---- Start output ----
[12:17:49] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/det/year/2016/seasontype/2/half/1/detroit-tigers
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'IndexError'>, 'espn_scraper.py', 383)
[12:17:50] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/det/year/2016/seasontype/2/half/2/detroit-tigers
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
[12:17:50] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 407)
