---- Start output ----
[00:46:13] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sea/year/2016/seasontype/2/half/1/seattle-mariners
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(), scraping date: (<class 'IndexError'>, 'espn_scraper.py', 386)
[00:46:14] Scraping game scores from http://espn.go.com/mlb/team/schedule/_/name/sea/year/2016/seasontype/2/half/2/seattle-mariners
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
[00:46:14] scrape_game_scores(): (<class 'ValueError'>, 'espn_scraper.py', 415)
